"filename", "language", "JavaScript", "Markdown", "SCSS", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\jay.patel\Desktop\next1\project-1\custom\variables.scss", "SCSS", 0, 0, 187, 0, 0, 0, 0, 0, 14, 18, 219
"c:\Users\jay.patel\Desktop\next1\project-1\data\contactformdata.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\jay.patel\Desktop\next1\project-1\data\forrm1.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\jay.patel\Desktop\next1\project-1\data\singleblog.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 11, 156
"c:\Users\jay.patel\Desktop\next1\project-1\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 9
"c:\Users\jay.patel\Desktop\next1\project-1\lib\api.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 15, 14, 62
"c:\Users\jay.patel\Desktop\next1\project-1\lib\api2.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\jay.patel\Desktop\next1\project-1\next.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 40, 13, 67
"c:\Users\jay.patel\Desktop\next1\project-1\package-lock.json", "JSON", 0, 0, 0, 0, 0, 10594, 0, 0, 0, 1, 10595
"c:\Users\jay.patel\Desktop\next1\project-1\package.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"c:\Users\jay.patel\Desktop\next1\project-1\pages\_app.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 9, 8, 43
"c:\Users\jay.patel\Desktop\next1\project-1\pages\_document.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\jay.patel\Desktop\next1\project-1\pages\allposts1.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 48, 14, 207
"c:\Users\jay.patel\Desktop\next1\project-1\pages\api\[blog1].js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 27, 8, 54
